Year,RE_share,Source
2007,3.96,"HEESI 2017, Table 1.7.2"
2008,4.37,"HEESI 2017, Table 1.7.2"
2009,4.35,"HEESI 2019, Table 1.6"
2010,5.42,"HEESI 2019, Table 1.6"
2011,3.77,"HEESI 2019, Table 1.6"
2012,3.92,"HEESI 2019, Table 1.6"
2013,4.96,"HEESI 2019, Table 1.6"
2014,5.32,"HEESI 2019, Table 1.6"
2015,4.97,"HEESI 2019, Table 1.6"
2016,6.13,"HEESI 2019, Table 1.6"
2017,6.66,"HEESI 2019, Table 1.6"
2018,8.61,"HEESI 2019, Table 1.6"
2019,9.18,"HEESI 2019, Table 1.6"
2020,10.94,"HEESI 2023, Table 1.6"
2021,11.83,"HEESI 2023, Table 1.6"
2022,12.3,IESR
2023,13.1,IESR
2024,14.65,"HEESI 2024, Table 1.6"
2025,15.75,MEMR
